party_id	list_order	candidate_name	official_name	profile_url	biography_kk	photo_source_url	match_score	match_margin	match_status	photo_status	r2_key	public_photo_url	asset_rights_note	collected_at
baitaq	3	Амиртаев Азаматхан Сайлауович	Әміртаев Азаматхан Сайлауұлы	https://baytaq.kz/kk/candidates/amirtaev-azamathan-saylouovich	Әміртаев Азаматхан Сайлауұлы 1978 жылы 21 наурызда Жамбыл облысында туған. Жоғары білімді. О. А. Жәутіков атындағы республикалық физика-математика мектеп-интернатын, Алматы энергетика және байланыс институтын «Есептеу техникасы және бағдарламалық қамтамасыз ету» мамандығы бойынша, Қазақ ұлттық аграрлық университетін «Мемлекеттік жергілікті басқару» мамандығы бойынша тәмамдаған. Мәскеу қаласындағы «Сколково» басқару мектебінде Executive MBA бағдарламасы бойынша білім алған. Еңбек жолын ақпараттық технологиялар саласында бастап, «Kaznewtech» ЖШС директоры, «Қазақстан темір жолы» ҰК» АҚ информаттандыру бағытындағы кеңесшісі қызметтерін атқарды. Сондай-ақ Қазақстандық бағдарламалық қамтамасыз ету компаниялары қауымдастығының вице-президенті және президенті болды. 2014-2016 жылдары «Инвесторлар альянсы» қоғамдық бірлестігінің президенті қызметін атқарды. 2016 жылдан бері «Байтақ-Болашақ» экологиялық қозғалысы» республикалық қоғамдық бірлестігінің президенті. Қазақстан Республикасы Президенті жанындағы Ұлттық қоғамдық сенім кеңесінің мүшесі (2019-2020), «ҚазАгро» ұлттық басқарушы холдингі» АҚ директорлар кеңесінің мүшесі (2020-2021), Қазақстан Республикасы Президенті жанындағы Ұлттық Құрылтай мүшесі. Қазақстанның «Байтақ» жасылдар партиясының негізін қалаушылардың бірі. Экологиялық саясатты дамыту, қоршаған ортаны қорғау, тұрақты даму және азаматтардың экологиялық мәдениетін арттыру бағытында жұмыс жүргізіп келеді. «Шапағат» медалімен (2020), «Құрмет» орденімен (2026) марапатталған. «Жыл меценаты» номинациясы бойынша «Халық сүйіктісі-2014» ұлттық сыйлығының иегері. Үйленген, төрт бала тәрбиелеп отыр. Қазақ, орыс және ағылшын тілдерін меңгерген.	https://baytaq.kz/_next/image?url=https%3A%2F%2Fbaytaq.kz%2Fapi%2Fmedia%2Ffile%2FWhatsApp%2520Image%25202026-07-23%2520at%252012.39.07%2520PM.jpeg&w=3840&q=75	0.940	0.277	MATCHED	UPLOADED	candidates/baitaq/3.jpg	https://assets.open-quryltai.org/candidates/baitaq/3.jpg	Official Baitaq party source; no separate license declaration found.	2026-08-16T22:54:11Z
baitaq	6	Әмірова Шолпан Кеңесқызы	Әмірова Шолпан Кенесқызы	https://baytaq.kz/kk/candidates/amirova-sholpan-keneskyzy		https://baytaq.kz/_next/image?url=https%3A%2F%2Fbaytaq.kz%2Fapi%2Fmedia%2Ffile%2F%25D0%2590%25D0%25BC%25D0%25B8%25D1%2580%25D0%25BE%25D0%25B2%25D0%25B0%2520%25D0%25A8%25D0%25BE%25D0%25BB%25D0%25BF%25D0%25B0%25D0%25BD.PNG&w=3840&q=75	1.000	0.458	MATCHED	UPLOADED	candidates/baitaq/6.png	https://assets.open-quryltai.org/candidates/baitaq/6.png	Official Baitaq party source; no separate license declaration found.	2026-08-16T22:54:13Z
baitaq	2	Айбеков Елдос Айбекұлы	Айбеков Елдос Айбекұлы	https://baytaq.kz/kk/candidates/aybekov-aydos-aybekuly		https://baytaq.kz/_next/image?url=https%3A%2F%2Fbaytaq.kz%2Fapi%2Fmedia%2Ffile%2F%25D0%2590%25D0%25B9%25D0%25B1%25D0%25B5%25D0%25BA%25D0%25BE%25D0%25B2%2520%25D0%2590%25D0%25B9%25D0%25B4%25D0%25BE%25D1%2581%2520%25D0%2590%25D0%25B9%25D0%25B1%25D0%25B5%25D0%25BA%25D2%25B1%25D0%25BB%25D1%258B.PNG&w=3840&q=75	1.000	0.347	MATCHED	UPLOADED	candidates/baitaq/2.png	https://assets.open-quryltai.org/candidates/baitaq/2.png	Official Baitaq party source; no separate license declaration found.	2026-08-16T22:54:17Z
baitaq	4	Амиртаев Сапар Абдраманович	Әміртаев Сапар Әбдіраманұлы	https://baytaq.kz/kk/candidates/amirtaev-sapar-abdramanovich		https://baytaq.kz/_next/image?url=https%3A%2F%2Fbaytaq.kz%2Fapi%2Fmedia%2Ffile%2F%25D0%25A1%25D0%25B0%25D0%25BF%25D0%25B0%25D1%2580.jpeg&w=3840&q=75	0.946	0.258	MATCHED	UPLOADED	candidates/baitaq/4.jpg	https://assets.open-quryltai.org/candidates/baitaq/4.jpg	Official Baitaq party source; no separate license declaration found.	2026-08-16T22:54:20Z
baitaq	1	Абдуалиева Айгуль Кадесовна	Әбдуалиева Айгүл Қадесқызы	https://baytaq.kz/kk/candidates/abdualieva-aygul-kadesovna		https://baytaq.kz/_next/image?url=https%3A%2F%2Fbaytaq.kz%2Fapi%2Fmedia%2Ffile%2F%25D0%2590%25D0%25B9%25D0%25B3%25D1%2583%25D0%25BB%25D1%258C%2520%25D0%259A%25D0%25B0%25D0%25B4%25D0%25B5%25D1%2581%25D0%25BE%25D0%25B2%25D0%25BD%25D0%25B0.jpeg&w=3840&q=75	0.933	0.358	MATCHED	UPLOADED	candidates/baitaq/1.jpg	https://assets.open-quryltai.org/candidates/baitaq/1.jpg	Official Baitaq party source; no separate license declaration found.	2026-08-16T22:54:22Z
baitaq	5	Аскаров Бекзат Ерикович	Асқаров Бекзат Ерікұлы	https://baytaq.kz/kk/candidates/askarov-bekzat-erikovich		https://baytaq.kz/_next/image?url=https%3A%2F%2Fbaytaq.kz%2Fapi%2Fmedia%2Ffile%2FWhatsApp%2520Image%25202026-07-22%2520at%25209.03.54%2520PM.jpeg&w=3840&q=75	0.925	0.342	MATCHED	UPLOADED	candidates/baitaq/5.jpg	https://assets.open-quryltai.org/candidates/baitaq/5.jpg	Official Baitaq party source; no separate license declaration found.	2026-08-16T22:54:24Z
baitaq	7	Байзаханов Аслан Адильханович	Байзаханов Аслан Әділханұлы	https://baytaq.kz/kk/candidates/bayzahanov-aslan-adil-hanovich		https://baytaq.kz/_next/image?url=https%3A%2F%2Fbaytaq.kz%2Fapi%2Fmedia%2Ffile%2F%25D0%2591%25D0%25B0%25D0%25B9%25D0%25B7%25D0%25B0%25D1%2585%25D0%25B0%25D0%25BD%25D0%25BE%25D0%25B2%2520%25D0%2590%25D1%2581%25D0%25BB%25D0%25B0%25D0%25BD.JPG&w=3840&q=75	0.945	0.389	MATCHED	UPLOADED	candidates/baitaq/7.jpg	https://assets.open-quryltai.org/candidates/baitaq/7.jpg	Official Baitaq party source; no separate license declaration found.	2026-08-16T22:54:26Z
baitaq	8	Байтемиров Турсынбек Шерниязович	Байтеміров Тұрсынбек Шерниязұлы	https://baytaq.kz/kk/candidates/baytemirov-tursynbek-sherniyazovich		https://baytaq.kz/_next/image?url=https%3A%2F%2Fbaytaq.kz%2Fapi%2Fmedia%2Ffile%2F%25D0%2591%25D0%25B0%25D0%25B9%25D1%2582%25D0%25B5%25D0%25BC%25D0%25B8%25D1%2580%25D0%25BE%25D0%25B2%2520%25D0%25A2%25D1%2583%25D1%2580%25D1%2581%25D1%258B%25D0%25BD%25D0%25B1%25D0%25B5%25D0%25BA%2520%25D0%25A8%25D0%25B5%25D1%2580%25D0%25BD%25D0%25B8%25D1%258F%25D0%25B7%25D0%25BE%25D0%25B2%25D0%25B8%25D1%2587.JPG&w=3840&q=75	0.954	0.433	MATCHED	UPLOADED	candidates/baitaq/8.jpg	https://assets.open-quryltai.org/candidates/baitaq/8.jpg	Official Baitaq party source; no separate license declaration found.	2026-08-16T22:54:30Z
baitaq	9	Баубек Нариман Асқарұлы	Баубек Нариман Асқарұлы	https://baytaq.kz/kk/candidates/baubek-nariman-askaruly		https://baytaq.kz/_next/image?url=https%3A%2F%2Fbaytaq.kz%2Fapi%2Fmedia%2Ffile%2F%25D1%2584%25D0%25BE%25D1%2582%25D0%25BE2.png&w=3840&q=75	1.000	0.399	MATCHED	UPLOADED	candidates/baitaq/9.png	https://assets.open-quryltai.org/candidates/baitaq/9.png	Official Baitaq party source; no separate license declaration found.	2026-08-16T22:54:33Z
baitaq	11	Бекахметов Габит Кайратович	Бекахметов Ғабит Қайратұлы	https://baytaq.kz/kk/candidates/bekahmetov-gabit-kayratovich		https://baytaq.kz/_next/image?url=https%3A%2F%2Fbaytaq.kz%2Fapi%2Fmedia%2Ffile%2FWhatsApp%2520Image%25202026-07-22%2520at%25205.34.00%2520PM%2520(1).jpeg&w=3840&q=75	0.940	0.315	MATCHED	UPLOADED	candidates/baitaq/11.jpg	https://assets.open-quryltai.org/candidates/baitaq/11.jpg	Official Baitaq party source; no separate license declaration found.	2026-08-16T22:54:37Z
