party_id	list_order	candidate_name	birth_year	position_ru	search_query	rank	video_id	video_url	title	description	channel_id	channel_title	published_at	duration	view_count	like_count	comment_count	score	signals	review_status	review_note	collected_at
ak_zhol	5	Барлыбаев Ерлан Хайланович	1967	заместитель Председателя ДПК «Ак жол», депутат Мажилиса Парламента РК VII, VIII созыва	"""Барлыбаев Ерлан Хайланович"" Казахстан"	1	xlvqEkzXO5M	https://www.youtube.com/watch?v=xlvqEkzXO5M	У кого в основном берёт в долг Казахстан	"У кого в основном берёт в долг Казахстан

Депутат Ерлан Барлыбаев спросил у министрв финансов Мади Такиева о том, почему Казахстан берёт в долг в йенах. Чиновник также поинтересовался причинами выбора валютных банков, с которыми сотрудничает наша страна. По словам Мади Такиева, причина этому – льготные проценты, льготный период и длительный период займа. Что касается валютных рисков, министр финансов считает, что даже при укреплении японской йены ссуды в этой валюте всё равно останутся выгодными для Казахстана."	UCnenVZrhlC2nJzxbHoBVUyg	BESmedia	2026-06-17T06:54:02Z	PT2M	8168	178	40	52	surname-in-metadata,name-tokens:2/3,context:депутат	SUGGESTED		2026-08-16T21:59:28Z
ak_zhol	5	Барлыбаев Ерлан Хайланович	1967	заместитель Председателя ДПК «Ак жол», депутат Мажилиса Парламента РК VII, VIII созыва	"""Барлыбаев Ерлан Хайланович"" Казахстан"	2	0auOfBxsrY4	https://www.youtube.com/watch?v=0auOfBxsrY4	В Казахстане предлагают смягчить условия для трудовых мигрантов	"Пока Штаты тратят миллиарды на выдворение, мы – намерены ПРИВЛЕКАТЬ иностранцев. Сейчас речь не об инвестициях, а о рабочей силе. В ближайшие годы в Казахстане будет не хватать 3 миллионов специалистов. Так, Мажилисмен Ерлан Барлыбаев предложил улучшить для них условия. 

Telegram Qaz - t.me/atamekenbusiness_qaz 
Telegram Rus - t.me/atamekenbusiness 
Telegram Sport - t.me/atamekenbusiness_sport
Telegram Auto - t.me/atamekenbusiness_auto
Telegram Silk Way - t.me/atamekenbusiness_silkway
Instagram - https://instagram.com/atameken.business/ 
Instagram - https://www.instagram.com/inbusinesskz/
Facebook - https://www.facebook.com/atamekentv.kz  
Facebook - https://www.facebook.com/inbusiness.kz 
Tik-Tok - https://www.tiktok.com/@atamekenbusiness


 «Atameken Business» online: https://inbusiness.kz/ru/tv 
Cайт - https://inbusiness.kz 

#AtamekenBusiness #бастыжаңалықтар #НовостиКазахстана 
#Inbusinesskz #новостиказахстана #қазақстанжаңалықтары #atamekenbusiness #новости"	UCTI_-Eu_ZUQyYR4DwyD5odw	Atameken Business	2025-12-24T14:07:03Z	PT52S	144	2	2	48	surname-in-metadata,name-tokens:2/3	SUGGESTED		2026-08-16T21:59:28Z
ak_zhol	14	Ерубаев Серик Сарсенович	1968	заместитель председателя ДПК «Ак жол», депутат Мажилиса Парламента РК VII, VIII созыва	"""Ерубаев Серик Сарсенович"" Казахстан"	0												0	no-video-results	NO_RESULT		2026-08-16T21:59:35Z
ak_zhol	15	Еспаева Дания Мадиевна	1961	председатель ДПК «Ақ жол», депутат Мажилиса Парламента РК VII, VIII созыва	"""Еспаева Дания Мадиевна"" Казахстан"	1	ll0MPMlmgqc	https://www.youtube.com/watch?v=ll0MPMlmgqc	Депутатский запрос. Фракция Ак Жол. Автор Еспаева Дания Мадиевна		UCCcFFrm5oCGznjhNJB1DwIw	Демократическая Партия Ак жол	2021-01-27T06:00:35Z	PT3M8S	27	0	0	84	surname-in-title,name-tokens:3/3,context:жол	SUGGESTED		2026-08-16T21:59:35Z
ak_zhol	15	Еспаева Дания Мадиевна	1961	председатель ДПК «Ақ жол», депутат Мажилиса Парламента РК VII, VIII созыва	"""Еспаева Дания Мадиевна"" Казахстан"	2	w5Gmm1omy28	https://www.youtube.com/watch?v=w5Gmm1omy28	Депутатский запрос. Фракция Ак жол. Автор Еспаева Дания Мадиевна.		UCCcFFrm5oCGznjhNJB1DwIw	Демократическая Партия Ак жол	2021-01-20T11:37:39Z	PT4M17S	35	0	0	84	surname-in-title,name-tokens:3/3,context:жол	SUGGESTED		2026-08-16T21:59:35Z
ak_zhol	15	Еспаева Дания Мадиевна	1961	председатель ДПК «Ақ жол», депутат Мажилиса Парламента РК VII, VIII созыва	"""Еспаева Дания Мадиевна"" Казахстан"	3	gdv4baRW3QU	https://www.youtube.com/watch?v=gdv4baRW3QU	Права оппозиции, сексизм в политике, инициативы Aq Jol // Дания Еспаева	"00:00 - Вступление
00:45 - Снижение популярности Aq Jol
02:26 - Сексизм в политике
04:36 - Рейтингы партии Aq Jol
10:52 - Приоритеты в избирательном списке
12:34 - Квалификационные требования для мигрантов
14:56 - Переход к парламентской республике
23:23 - Выборность акимов
26:13 - Закон об оппозиции
30:02 - Финансирование наказов избирателей
35:28 - Наследие ""Алаш"" и национал-патриотизм
40:20 - Ребрендинг партий
42:52 - Принципиальные соперники на выборах
44:59 - Честность выборов
48:22 - Призыв Аблязова вступать в Aq Jol
49:58 - Прогноз на результаты выборов
50:52 - Конец"	UCzS5H3B7s25iSIZzw2SHphA	НеКурултай	2020-12-10T12:00:07Z	PT51M18S	1331	168	348	68	surname-in-title,name-tokens:2/3	SUGGESTED		2026-08-16T21:59:35Z
ak_zhol	15	Еспаева Дания Мадиевна	1961	председатель ДПК «Ақ жол», депутат Мажилиса Парламента РК VII, VIII созыва	"""Еспаева Дания Мадиевна"" Казахстан"	4	SZUCYWYmu0E	https://www.youtube.com/watch?v=SZUCYWYmu0E	Ак жол не удовлетворены полученным от МОН ответом о расходовании $67 млн от Всемирного банка	"Депутат Мажилиса Парламента Казахстана от фракции ""Ак жол"" Дания Еспаева сообщила, что в партии не удовлетворены ответом Министерства образовании и науки о неосвоенных 67 млн долларов от Всемирного банка.

По словам Дании Еспаевой, в своём ответе Министерство ссылается на то, что этот заём не был освоен за три года по техническим причинам.

""То надо было провести тендеры, то опять этот же карантин. Правда, я не понимаю, как может пандемия или карантин отразиться на составлении законов или технического задания. В конечном итоге МОН заявляет, что те суммы денег внутри 67 млн долларов, это 38 млн долларов, они не будут осваивать, потому что эти деньги были предназначены на компьютеризацию и на покупку медийного оборудования. В этом же письме министр говорит, что мы собираемся деньги Всемирного банка использовать на улучшение качества учебников, совершенствование информационного содержания, педагогического образования, изменение образовательных программ. Ну, извините, разве можно международные деньги использовать на те текущие вопросы, на которые МОН получает в рамках бюджетных средств? Поэтому этот ответ нас не удовлетворил"", – сказала Дания Еспаева."	UChb3pz3wO4bayig14fCdSTw	Ақ жол Time	2020-09-28T05:55:11Z	PT4M28S	166	6	1	64	surname-in-metadata,name-tokens:2/3,context:депутат,жол,мажилиса,парламента	SUGGESTED		2026-08-16T21:59:35Z
ak_zhol	15	Еспаева Дания Мадиевна	1961	председатель ДПК «Ақ жол», депутат Мажилиса Парламента РК VII, VIII созыва	"""Еспаева Дания Мадиевна"" Казахстан"	5	jRN6WrIvnIo	https://www.youtube.com/watch?v=jRN6WrIvnIo	«Ак жол» требует принять конкретные меры поддержки бизнеса в связи с задержкой грузоперевозок из КНР	"Депутатский запрос фракции Демократической партии «Ак жол» первому Вице-Премьеру Алихану Смаилову о ситуации с перевозками на казахско-китайской границе

Озвучила депутат Мажилиса Дания Еспаева"	UChb3pz3wO4bayig14fCdSTw	Ақ жол Time	2021-11-03T10:21:42Z	PT4M20S	593	22	18	60	surname-in-metadata,name-tokens:2/3,context:депутат,жол,мажилиса	SUGGESTED		2026-08-16T21:59:35Z
ak_zhol	21	Иса Қазыбек Жарылқасынұлы	1962	заместитель Председателя ДПК «Ак жол», депутат Мажилиса Парламента РК VII, VIII созыва	"""Иса Қазыбек Жарылқасынұлы"" Казахстан"	1	rjKmtiqbZfI	https://www.youtube.com/watch?v=rjKmtiqbZfI	Қазақстанда Азаматтық соғыс қаупі болды | Қазыбек ИСА | ADYRNA ULTTYQ PORTALY	"«Адырна» ұлттық порталының төл жобасы ""Таразының"" кезекті саны эфирде. Қонағымыз – Иса Қызыбек Жарылқасынұлы. 

Қазыбек Иса – Ақын, Халықаралық «Алаш» әдеби сыйлығының лауреаты. «ҚР Мәдениет қайраткері», «ҚР Ақпарат саласының үздігі», «Қазақ журналистикасының қайраткері», «Ұлт қайраткері», «Тіл жанашыры» құрметті атақтарының иегері.

Депутат, Қазақстан Республикасы Парламенті Мәжілісінің әлеуметтік-мәдени даму Комитетінің мүшесі;
#adyrna  #Жаңа қазақстан#Қазыбек ИСА"	UCP5lDuFEFUU3KvzKibnnhNg	ADYRNA ULTTYQ PORTALY	2022-10-03T04:44:44Z	PT30M59S	4422	107	25	84	surname-in-title,name-tokens:3/3,context:депутат	SUGGESTED		2026-08-16T21:59:37Z
ak_zhol	21	Иса Қазыбек Жарылқасынұлы	1962	заместитель Председателя ДПК «Ак жол», депутат Мажилиса Парламента РК VII, VIII созыва	"""Иса Қазыбек Жарылқасынұлы"" Казахстан"	2	EYHVG179Ino	https://www.youtube.com/watch?v=EYHVG179Ino	Қазыбек Иса. ҚАЗАҚСТАН СОТЫНА ҚАЗАҚ ТІЛІНІҢ ҚҰНЫ БІР ТИЫН!	"""Тентектің айтқаны келмейді сандырағы келеді"" дегендей, ""қазақ тілін білмегені үшін сотты жүргізуге сенімсіздік білдірілген судья түстен кейін қайтып келуі мүмкін"" деген сөзді қайдан жаза қалып едім, тура солай болды...

Иә, түске дейін мен фейсбук парақшамда: ""Ол судья К. Мекемтас енді қазақ тілін үйрену курсына кетті ме, әлде қазақ тілін мазақ тілге айналдырғаны үшін өз еркімен орнын босатуға арыз беруге кетті ме, ол жағы әзірге белгісіз... Түстен кейін ""Елордада қазақ тілін менен артық білетін сот жоқ""-деп, қайтып келіп сотты жүргізе беруі де әбден мүмкін... Өйткені біз Қазақстанда өмір сүреміз ғой, ал бізде бәрі де бола береді.""-деп жазған болатынмын.

Сонымен судья К.Мекемтастың 2 беттік шешімінен Қазақ тілінен табылған 76 қатеге көз жұма қараған сот судья К. Мекемтас сот жүргізуге құқы бар деп шешім қабылдады.

Сонымен, алдын ала біз жазғанымыздай, Қазақстан астанасында екі бет қағаздан 76 қате жіберетін, жарымжан сөйлемдерін адам түсінуі қиын судья К. Мекемтастан артық қазақ тілін білетін сот жоқ болып шықты!..

Бұл шешім - ҚАЗАҚСТАН СОТЫНА ҚАЗАҚ ТІЛІНІҢ ҚҰНЫ БІР ТИЫН деген сөз!

Мұндай масқараға да куә болдық біз пақыр!..

Иә, бізде бәрі де болады...

Қазыбек Иса"	UCE9NaduM_7-tspzW26gvMiQ	Qazaq Uni	2019-10-17T11:43:24Z	PT1M37S	13054	133	20	68	surname-in-title,name-tokens:2/3	SUGGESTED		2026-08-16T21:59:37Z
