party_id	list_order	candidate_name	official_name_ru	official_name_kk	source_type	official_source_url	role_ru	role_kk	biography_ru	biography_kk	photo_source_url	facebook_url	instagram_url	match_score	match_margin	match_status	photo_status	local_photo_path	r2_key	public_photo_url	asset_rights_note	collected_at
adilet	16	Атабаева Гульзира Нуржановна	Гульзира Атабаева	Гүлзира Атабаева	PARTY_LEADERSHIP	https://adilet-partiyasy.kz/ru/leadership	Член Бюро Политсовета; член совета при Президенте по молодёжной политике, председатель РОО Павлодарский областной филиал «Казахстанский отраслевой профессиональный союз работников малого и среднего бизнеса «YNTYMAQ»	Саяси кеңес бюросының мүшесі; Президент жанындағы Жастар саясаты жөніндегі кеңестің мүшесі, «YNTYMAQ» қазақстандық орта және шағын бизнес қызметкерлерінің салалық кәсіподағы» РҚБ Павлодар облыстық филиалының төрайымы			https://adilet-partiyasy.kz/api/media/uploads/leadership/bbca567e-0c7f-4505-bcdf-85595944ae6f.webp					MATCHED	UPLOADED	data/work/photos/adilet/16.webp	candidates/adilet/16.webp	https://assets.open-quryltai.org/candidates/adilet/16.webp	Official Әділет party site (adilet-partiyasy.kz), Bureau of the Political Council page; no explicit free-use license declared.	2026-08-17
adilet	41	Бектуров Ренат Нурмолдаевич	Ренат Бектуров	Ренат Бектұров	PARTY_LEADERSHIP	https://adilet-partiyasy.kz/ru/leadership	Член Бюро Политсовета; управляющий международным финансовым центром «Астана»	Саяси кеңес бюросының мүшесі; «Астана» халықаралық қаржы орталығының басқарушысы			https://adilet-partiyasy.kz/api/media/uploads/leadership/094cdb52-981d-4d9c-b39a-0afa5bb15227.webp					MATCHED	UPLOADED	data/work/photos/adilet/41.webp	candidates/adilet/41.webp	https://assets.open-quryltai.org/candidates/adilet/41.webp	Official Әділет party site (adilet-partiyasy.kz), Bureau of the Political Council page; no explicit free-use license declared.	2026-08-17
adilet	48	Газдиева Белла Асланбековна	Белла Газдиева	Белла Газдиева	PARTY_LEADERSHIP	https://adilet-partiyasy.kz/ru/leadership	Член Бюро Политсовета; ассоциированный профессор кафедры общего языкознания и литературы Кокшетауского университета им. Ш. Уалиханова	Саяси кеңес бюросының мүшесі; Шоқан Уәлиханов атындағы Көкшетау университеті Жалпы тіл білімі және әдебиет кафедрасының қауымдастырылған профессоры			https://adilet-partiyasy.kz/api/media/uploads/leadership/7f314581-fa64-4e9f-889b-202123a5583f.webp					MATCHED	UPLOADED	data/work/photos/adilet/48.webp	candidates/adilet/48.webp	https://assets.open-quryltai.org/candidates/adilet/48.webp	Official Әділет party site (adilet-partiyasy.kz), Bureau of the Political Council page; no explicit free-use license declared.	2026-08-17
adilet	54	Дәдебай Айбек Арқабайұлы	Айбек Аркабаевич Дадебай	Айбек Арқабайұлы Дәдебай	PARTY_LEADERSHIP	https://adilet-partiyasy.kz/ru/chairman	Председатель партии	Партия төрағасы	Айбек Аркабаевич Дадебай – государственный и политический деятель Республики Казахстан, Председатель партии «Әділет» с 7 мая 2026 года. Родился 1 апреля 1980 года в городе Алматы. Окончил Казахский университет международных отношений и мировых языков имени Абылай хана по специальности «Документовед-международник», впоследствии получил степень магистра регионоведения. Имеет дипломатический ранг Чрезвычайного и Полномочного Посланника I класса. Свою профессиональную деятельность начал в сфере высшего образования, работая преподавателем кафедры менеджмента международного туризма Казахского государственного университета международных отношений и мировых языков. Значительную часть своей карьеры посвятил государственной службе и вопросам государственного управления. Работал экспертом отдела межпарламентских связей и международного сотрудничества Аппарата Сената Парламента Республики Казахстан, исполнял обязанности помощника Председателя Сената. В 2011–2013 годах был атташе, III секретарем Постоянного представительства Республики Казахстан при Организации Объединённых Наций в Женеве. В последующие годы занимал руководящие должности в системе высших органов государственной власти: возглавлял Секретариат Председателя Сената Парламента Республики Казахстан, работал заместителем начальника Канцелярии Президента Республики Казахстан, заместителем Управляющего делами Президента Республики Казахстан. В январе 2022 года был назначен Управляющим делами Президента Республики Казахстан. На этом посту обеспечивал реализацию масштабных организационных и управленческих реформ, направленных на повышение эффективности государственных институтов. С февраля 2024 года по май 2026 года занимал должность Руководителя Администрации Президента Республики Казахстан, координируя деятельность по реализации ключевых государственных реформ и стратегических инициатив. За многолетнюю государственную службу и вклад в развитие страны награжден орденом «Барыс» I степени и медалью «Ерен еңбегі үшін». Женат. Воспитывает четырех детей.	Айбек Арқабайұлы Дәдебай – Қазақстан Республикасының мемлекеттік және саяси қайраткері. 2026 жылдың 7 мамырынан бастап «Әділет» партиясының төрағасы. 1980 жылғы 1 сәуірде Алматы қаласында дүниеге келген. Абылай хан атындағы Қазақ халықаралық қатынастар және әлем тілдері университетін «Халықаралық құжаттанушы» мамандығы бойынша тәмамдап, кейін өңіртану магистрі дәрежесін алған. І сыныпты Төтенше және Өкілетті Уәкіл дипломатиялық дәрежесі берілген. Еңбек жолын жоғары білім беру саласынан бастап, Қазақ мемлекеттік халықаралық қатынастар және әлем тілдері университетінің халықаралық туризм менеджменті кафедрасында оқытушы болып қызмет еткен. Мансабының елеулі бөлігін мемлекеттік қызмет пен басқару мәселелеріне арнаған. Қазақстан Республикасы Парламенті Сенаты Аппаратының Парламентаралық байланыстар және халықаралық ынтымақтастық бөлімінде сарапшы болып жұмыс істеген, сондай-ақ Сенат Төрағасының көмекшісі міндетін атқарған. 2011–2013 жылдары Қазақстан Республикасының Женева қаласындағы Біріккен Ұлттар Ұйымы жанындағы Тұрақты өкілдігінің атташесі, III хатшысы болды. Кейінгі жылдары мемлекеттік биліктің жоғары органдары жүйесінде басшылық қызметтерде болды: Қазақстан Республикасы Парламенті Сенаты Төрағасының Хатшылығын басқарды, Қазақстан Республикасы Президенті Кеңсесі басшысының орынбасары, Қазақстан Республикасы Президенті Іс басқарушысының орынбасары болып жұмыс істеді. 2022 жылғы қаңтарда Қазақстан Республикасы Президентінің Іс басқарушысы болып тағайындалды. Бұл қызметте мемлекеттік институттардың тиімділігін арттыруға бағытталған ауқымды ұйымдастырушылық және басқарушылық реформаларды жүзеге асырды. 2024 жылғы ақпаннан 2026 жылғы мамырға дейін Қазақстан Республикасы Президенті Әкімшілігінің Басшысы қызметін атқарып, негізгі мемлекеттік реформалар мен стратегиялық бастамаларды іске асыру жұмыстарын үйлестірді. Көпжылдық мемлекеттік қызметі мен елдің дамуына қосқан үлесі үшін I дәрежелі «Барыс» ордені мен «Ерен еңбегі үшін» медалімен марапатталған.	https://adilet-partiyasy.kz/api/media/uploads/leadership/58b861a8-d36f-49f4-8d8c-e5a5a786ec5d.webp					MATCHED	UPLOADED	data/work/photos/adilet/54.webp	candidates/adilet/54.webp	https://assets.open-quryltai.org/candidates/adilet/54.webp	Official Әділет party site (adilet-partiyasy.kz), Bureau of the Political Council page; no explicit free-use license declared.	2026-08-17
adilet	56	Джаманкулова Карлыгаш Калибековна	Карлыгаш Джаманкулова	Қарлығаш Жаманқұлова	PARTY_LEADERSHIP	https://adilet-partiyasy.kz/ru/leadership	Член Бюро Политсовета; общественный деятель, член Рабочей группы по парламентской реформе при Президенте Республики Казахстан, член Конституционной комиссии	Саяси кеңес бюросының мүшесі; Қазақстан Республикасы Президентінің жанындағы Парламенттік реформа жөніндегі жұмыс тобының және Конституциялық комиссиясының мүшесі, қоғам қайраткері			https://adilet-partiyasy.kz/api/media/uploads/leadership/45582b5c-cfda-4391-b4e4-445630078cba.webp					MATCHED	UPLOADED	data/work/photos/adilet/56.webp	candidates/adilet/56.webp	https://assets.open-quryltai.org/candidates/adilet/56.webp	Official Әділет party site (adilet-partiyasy.kz), Bureau of the Political Council page; no explicit free-use license declared.	2026-08-17
adilet	74	Закиева Динара Болатовна	Динара Закиева	Динара Зәкиева	PARTY_LEADERSHIP	https://adilet-partiyasy.kz/ru/leadership	Член Бюро Политсовета; Уполномоченный по правам ребёнка в Республике Казахстан	Саяси кеңес бюросының мүшесі; Қазақстан Республикасындағы бала құқықтары жөніндегі уәкіл			https://adilet-partiyasy.kz/api/media/uploads/leadership/2ca90354-1444-4de8-8af3-f4eff5fa2e01.webp					MATCHED	UPLOADED	data/work/photos/adilet/74.webp	candidates/adilet/74.webp	https://assets.open-quryltai.org/candidates/adilet/74.webp	Official Әділет party site (adilet-partiyasy.kz), Bureau of the Political Council page; no explicit free-use license declared.	2026-08-17
adilet	90	Кенжеханұлы Рауан	Рауан Кенжеханулы	Рауан Кенжеханұлы	PARTY_LEADERSHIP	https://adilet-partiyasy.kz/ru/leadership	Член Бюро Политсовета; Президент международного общества «Қазақ тілі»	Саяси кеңес бюросының мүшесі; Халықаралық «Қазақ тілі» қоғамының президенті			https://adilet-partiyasy.kz/api/media/uploads/leadership/dace118c-1129-4f46-b3bd-c082c865aa01.webp					MATCHED	UPLOADED	data/work/photos/adilet/90.webp	candidates/adilet/90.webp	https://assets.open-quryltai.org/candidates/adilet/90.webp	Official Әділет party site (adilet-partiyasy.kz), Bureau of the Political Council page; no explicit free-use license declared.	2026-08-17
adilet	97	Кузиева Замира Закиржановна	Замира Кузиева	Замира Кузиева	PARTY_LEADERSHIP	https://adilet-partiyasy.kz/ru/leadership	Член Бюро Политсовета; Управляющий директор Группы компаний «Универсал»	Саяси кеңес бюросының мүшесі; «Универсал» компаниялар тобының басқарушы директоры			https://adilet-partiyasy.kz/api/media/uploads/leadership/e5b79d29-6b85-45ab-ae8a-a7a5246002d9.webp					MATCHED	UPLOADED	data/work/photos/adilet/97.webp	candidates/adilet/97.webp	https://assets.open-quryltai.org/candidates/adilet/97.webp	Official Әділет party site (adilet-partiyasy.kz), Bureau of the Political Council page; no explicit free-use license declared.	2026-08-17
adilet	103	Лаврентьев Андрей Сергеевич	Андрей Лаврентьев	Андрей Лаврентьев	PARTY_LEADERSHIP	https://adilet-partiyasy.kz/ru/leadership	Член Бюро Политсовета; Председатель Совета директоров «Qarmet» и группы компаний «Allur»	Саяси кеңес бюросының мүшесі; «Qarmet» және «Allur» компаниялар тобы Директорлар кеңесінің төрағасы			https://adilet-partiyasy.kz/api/media/uploads/leadership/6b545705-5e15-4486-b22e-ad2cc4958578.webp					MATCHED	UPLOADED	data/work/photos/adilet/103.webp	candidates/adilet/103.webp	https://assets.open-quryltai.org/candidates/adilet/103.webp	Official Әділет party site (adilet-partiyasy.kz), Bureau of the Political Council page; no explicit free-use license declared.	2026-08-17
adilet	158	Тауан Мухамедкали Эдуардович	Мухамедкали Тауан	Мұхамедқали Тауан	PARTY_LEADERSHIP	https://adilet-partiyasy.kz/ru/leadership	Член Бюро Политсовета; Генеральный директор медиахолдинга Uni-Q Group	Саяси кеңес бюросының мүшесі; Uni-Q Group медиахолдингінің бас директоры			https://adilet-partiyasy.kz/api/media/uploads/leadership/329cd7f9-bd26-4973-9c6e-763c491d9e64.webp					MATCHED	UPLOADED	data/work/photos/adilet/158.webp	candidates/adilet/158.webp	https://assets.open-quryltai.org/candidates/adilet/158.webp	Official Әділет party site (adilet-partiyasy.kz), Bureau of the Political Council page; no explicit free-use license declared.	2026-08-17
